windspeed
9.8
12.7
7.7
7.7
6.4
7.7
4.3
6.3
7.5
6.5
3.2
6.3
9.4
9.8
11.4
9.4
10.2
12.8
5.3
9.2
6.4
5.8
9.4
12.0
10.8
6.6
9.0
6.7
4.9
4.7
7.2
5.8
6.6
6.5
6.6
5.8
4.9
7.0
3.0
6.3
4.9
9.5
8.0
5.5
4.0
9.5
5.0
7.7
9.1
13.6
6.0
5.2
8.3
11.0
8.6
11.1
10.2
6.3
3.4
9.1
8.8
10.0
7.9
15.5
8.4
6.0
5.8
4.8
9.6
14.3
8.3
11.1
11.7
8.2
13.6
6.0
10.1
12.8
7.8
5.6
9.2
8.2
19.8
11.5
10.8
12.5
13.7
5.1
10.0
13.1
9.2
11.3
8.8
9.5
13.4
7.8
